layer,x,y,voltage
M4,1.000,1.000,0.9999999999999998
M4,1.000,16.000,1.0000000000000002
M4,1.000,31.000,0.9999999999999998
M4,1.000,46.000,1.0000000000000004
M4,1.000,61.000,0.9999999999999999
M4,16.000,1.000,0.9999999999999998
M4,16.000,16.000,0.9999999999999994
M4,16.000,31.000,1.0
M4,16.000,46.000,1.0000000000000002
M4,16.000,61.000,1.0000000000000004
M4,31.000,1.000,0.9999999999999997
M4,31.000,16.000,0.9999999999999994
M4,31.000,31.000,0.9999999999999998
M4,31.000,46.000,1.0000000000000004
M4,31.000,61.000,1.0
M4,46.000,1.000,0.9999999999999997
M4,46.000,16.000,0.9999999999999997
M4,46.000,31.000,0.9999999999999994
M4,46.000,46.000,1.0000000000000004
M4,46.000,61.000,1.0
M4,61.000,1.000,0.9999999999999997
M4,61.000,16.000,1.0000000000000002
M4,61.000,31.000,0.9999999999999992
M4,61.000,46.000,1.0000000000000002
M4,61.000,61.000,0.999999999999999
M2,1.000,1.000,0.9102163528425753
M2,1.000,11.000,0.8983572131759076
M2,1.000,21.000,0.9084465303532154
M2,1.000,31.000,0.8976701617992104
M2,1.000,41.000,0.9085353256553894
M2,1.000,51.000,0.898295274885051
M2,1.000,61.000,0.9101093369040693
M2,11.000,1.000,0.9026690817415142
M2,11.000,11.000,0.8976501241159186
M2,11.000,21.000,0.9012686009617469
M2,11.000,31.000,0.8971380063322998
M2,11.000,41.000,0.9013240090700777
M2,11.000,51.000,0.8975677829504654
M2,11.000,61.000,0.9025716474801899
M2,21.000,1.000,0.8987788043004235
M2,21.000,11.000,0.8990162627909322
M2,21.000,21.000,0.8978004391043743
M2,21.000,31.000,0.898722811998661
M2,21.000,41.000,0.8978371441552262
M2,21.000,51.000,0.8989084180322333
M2,21.000,61.000,0.8986844293071553
M2,31.000,1.000,0.8978885268593326
M2,31.000,11.000,0.9033824014659457
M2,31.000,21.000,0.8973322772470019
M2,31.000,31.000,0.9033076176650223
M2,31.000,41.000,0.8973502792403748
M2,31.000,51.000,0.9032490531140012
M2,31.000,61.000,0.8977972111341207
M2,41.000,1.000,0.8990400216330386
M2,41.000,11.000,0.8986118533966589
M2,41.000,21.000,0.8982170868759604
M2,41.000,31.000,0.8983565838161469
M2,41.000,41.000,0.8982505729116205
M2,41.000,51.000,0.8985105270658617
M2,41.000,61.000,0.8989461002851011
M2,51.000,1.000,0.902951959460444
M2,51.000,11.000,0.8972856343825028
M2,51.000,21.000,0.9016901393765012
M2,51.000,31.000,0.8968230778112759
M2,51.000,41.000,0.9017476562293901
M2,51.000,51.000,0.897205641715776
M2,51.000,61.000,0.9028540162670853
M2,61.000,1.000,0.9098638972878492
M2,61.000,11.000,0.8989594153683466
M2,61.000,21.000,0.9081631918770421
M2,61.000,31.000,0.8982895718064049
M2,61.000,41.000,0.9082447395471599
M2,61.000,51.000,0.8989007563656903
M2,61.000,61.000,0.9097619322490694
M3,1.000,2.000,0.9958554501586996
M3,1.000,22.000,0.9930570272842608
M3,1.000,42.000,0.9937446268918801
M3,1.000,62.000,0.9955165706812473
M3,31.000,12.000,0.9938234207372953
M3,31.000,32.000,0.9956462984581783
M3,31.000,52.000,0.9930382586077952
M3,61.000,2.000,0.9958394597758049
M3,61.000,22.000,0.9930352330471636
M3,61.000,42.000,0.9937245906338036
M3,61.000,62.000,0.9954994426851667
M2,0.000,1.000,0.9102163528425751
M2,3.000,1.000,0.9081813036943868
M2,33.000,1.000,0.8983104713711145
M2,63.000,1.000,0.9092008829306242
M2,65.000,1.000,0.9092008829306241
M2,0.000,11.000,0.8983572131759074
M2,3.000,11.000,0.8989572131759077
M2,33.000,11.000,0.9020728286079839
M2,63.000,11.000,0.8998941715655155
M2,65.000,11.000,0.8998941715655153
M2,0.000,21.000,0.9084465303532154
M2,3.000,21.000,0.9064431304476448
M2,33.000,21.000,0.8978386448755276
M2,63.000,21.000,0.9074463549565313
M2,65.000,21.000,0.9074463549565311
M2,0.000,31.000,0.8976701617992103
M2,3.000,31.000,0.8982701617992106
M2,33.000,31.000,0.9019833886200437
M2,63.000,31.000,0.8991828706054308
M2,65.000,31.000,0.8991828706054308
M2,0.000,41.000,0.9085353256553894
M2,3.000,41.000,0.9065135010019589
M2,33.000,41.000,0.8978529062574047
M2,63.000,41.000,0.9075140069465095
M2,65.000,41.000,0.9075140069465097
M2,0.000,51.000,0.8982952748850509
M2,3.000,51.000,0.898895274885051
M2,33.000,51.000,0.9019544353459303
M2,63.000,51.000,0.8998397792956732
M2,65.000,51.000,0.8998397792956733
M2,0.000,61.000,0.9101093369040691
M2,3.000,61.000,0.9080814220186175
M2,33.000,61.000,0.8982197674995138
M2,63.000,61.000,0.9091054382012786
