layer,x,y,voltage
M4,42.100,123.700,0.9500000000000002
M4,42.100,133.900,0.9500000000000002
M4,42.100,144.100,0.9500000000000002
M4,42.100,154.300,0.9500000000000002
M4,42.100,164.500,0.9500000000000003
M4,42.100,174.700,0.9500000000000003
M4,42.100,184.900,0.9500000000000002
M4,42.100,195.100,0.9500000000000003
M4,42.100,205.300,0.9500000000000002
M4,42.100,215.500,0.9500000000000003
M4,42.100,225.700,0.95
M4,42.100,235.900,0.9500000000000003
M4,42.100,246.100,0.9500000000000003
M4,42.100,256.300,0.9500000000000002
M4,42.100,266.500,0.9500000000000002
M4,42.100,276.700,0.9500000000000003
M4,42.100,286.900,0.95
M4,42.100,297.100,0.9500000000000003
M4,42.100,307.300,0.9500000000000002
M4,42.100,317.500,0.9500000000000005
M4,42.100,327.700,0.9500000000000003
M4,42.100,337.900,0.9500000000000003
M4,42.100,348.100,0.9500000000000003
M4,42.100,358.300,0.9500000000000003
M4,42.100,368.500,0.9500000000000003
M4,42.100,378.700,0.9500000000000006
M4,52.300,1.300,0.9500000000000001
M4,52.300,11.500,0.9500000000000001
M4,52.300,21.700,0.95
M4,52.300,31.900,0.9499999999999997
M4,52.300,42.100,0.95
M4,52.300,52.300,0.95
M4,52.300,62.500,0.95
M4,52.300,72.700,0.9499999999999997
M4,52.300,82.900,0.9500000000000001
M4,52.300,93.100,0.9499999999999997
M4,52.300,103.300,0.95
M4,52.300,113.500,0.9500000000000001
M4,52.300,123.700,0.9499999999999997
M4,52.300,133.900,0.9499999999999997
M4,52.300,144.100,0.9500000000000003
M4,52.300,154.300,0.9500000000000003
M4,52.300,164.500,0.9499999999999995
M4,52.300,174.700,0.95
M4,52.300,184.900,0.9499999999999997
M4,52.300,195.100,0.95
M4,52.300,205.300,0.9499999999999997
M4,52.300,215.500,0.9499999999999997
M4,52.300,225.700,0.95
M4,52.300,235.900,0.9500000000000001
M4,52.300,246.100,0.9499999999999997
M4,52.300,256.300,0.9499999999999997
M4,52.300,266.500,0.95
M4,52.300,276.700,0.95
M4,52.300,286.900,0.9499999999999995
M4,52.300,297.100,0.95
M4,52.300,307.300,0.95
M4,52.300,317.500,0.9499999999999997
M4,52.300,327.700,0.9499999999999997
M4,52.300,337.900,0.95
M4,52.300,348.100,0.9500000000000001
M4,52.300,358.300,0.9499999999999997
M4,52.300,368.500,0.95
M4,52.300,378.700,0.95
M4,62.500,1.300,0.9500000000000001
M4,62.500,11.500,0.9500000000000001
M4,62.500,21.700,0.9500000000000001
M4,62.500,31.900,0.9500000000000004
M4,62.500,42.100,0.9500000000000001
M4,62.500,52.300,0.9500000000000003
M4,62.500,62.500,0.9500000000000001
M4,62.500,72.700,0.9500000000000003
M4,62.500,82.900,0.9500000000000003
M4,62.500,93.100,0.9500000000000004
M4,62.500,103.300,0.9500000000000004
M4,62.500,113.500,0.9500000000000004
M4,62.500,123.700,0.9500000000000003
M4,62.500,133.900,0.9500000000000003
M4,62.500,144.100,0.9500000000000003
M4,62.500,154.300,0.9500000000000003
M4,62.500,164.500,0.9499999999999998
M4,62.500,174.700,0.9500000000000004
M4,62.500,184.900,0.9500000000000003
M4,62.500,195.100,0.9500000000000003
M4,62.500,205.300,0.9500000000000004
M4,62.500,215.500,0.9500000000000003
M4,62.500,225.700,0.9500000000000003
M4,62.500,235.900,0.9500000000000003
M4,62.500,246.100,0.9500000000000003
M4,62.500,256.300,0.9500000000000004
M4,62.500,266.500,0.9500000000000004
M4,62.500,276.700,0.9500000000000004
M4,62.500,286.900,0.9500000000000003
M4,62.500,297.100,0.9500000000000003
M4,62.500,307.300,0.9500000000000003
