layer,x,y,voltage
M4,5.000,5.000,0.95
M4,5.000,14.990,0.95
M4,5.000,24.980,0.95
M4,5.000,34.970,0.95
M4,5.000,44.960,0.95
M4,5.000,54.950,0.95
M4,5.000,64.940,0.95
M4,5.000,74.930,0.95
M4,5.000,84.920,0.95
M4,5.000,94.910,0.95
M4,5.000,104.900,0.95
M4,5.000,114.890,0.95
M4,14.990,5.000,0.95
M4,14.990,14.990,0.95
M4,14.990,24.980,0.95
M4,14.990,34.970,0.9499999999999998
M4,14.990,44.960,0.9499999999999998
M4,14.990,54.950,0.9499999999999998
M4,14.990,64.940,0.95
M4,14.990,74.930,0.9499999999999998
M4,14.990,84.920,0.9499999999999998
M4,14.990,94.910,0.9499999999999998
M4,14.990,104.900,0.95
M4,14.990,114.890,0.9499999999999998
M4,24.980,5.000,0.95
M4,24.980,14.990,0.95
M4,24.980,24.980,0.95
M4,24.980,34.970,0.95
M4,24.980,44.960,0.95
M4,24.980,54.950,0.95
M4,24.980,64.940,0.95
M4,24.980,74.930,0.95
M4,24.980,84.920,0.95
M4,24.980,94.910,0.95
M4,24.980,104.900,0.95
M4,24.980,114.890,0.95
M4,34.970,5.000,0.95
M4,34.970,14.990,0.95
M4,34.970,24.980,0.95
M4,34.970,34.970,0.9499999999999998
M4,34.970,44.960,0.9499999999999998
M4,34.970,54.950,0.9499999999999998
M4,34.970,64.940,0.95
M4,34.970,74.930,0.9499999999999998
M4,34.970,84.920,0.9499999999999998
M4,34.970,94.910,0.9499999999999998
M4,34.970,104.900,0.95
M4,34.970,114.890,0.9499999999999998
M4,44.960,5.000,0.95
M4,44.960,14.990,0.95
M4,44.960,24.980,0.95
M4,44.960,34.970,0.95
M4,44.960,44.960,0.95
M4,44.960,54.950,0.95
M4,44.960,64.940,0.95
M4,44.960,74.930,0.95
M4,44.960,84.920,0.95
M4,44.960,94.910,0.95
M4,44.960,104.900,0.95
M4,44.960,114.890,0.95
M4,54.950,5.000,0.95
M4,54.950,14.990,0.95
M4,54.950,24.980,0.95
M4,54.950,34.970,0.9499999999999998
M4,54.950,44.960,0.9499999999999998
M4,54.950,54.950,0.9499999999999998
M4,54.950,64.940,0.95
M4,54.950,74.930,0.9499999999999998
M4,54.950,84.920,0.9499999999999998
M4,54.950,94.910,0.9499999999999998
M4,54.950,104.900,0.95
M4,54.950,114.890,0.9499999999999998
M4,64.940,5.000,0.95
M4,64.940,14.990,0.95
M4,64.940,24.980,0.95
M4,64.940,34.970,0.95
M4,64.940,44.960,0.95
M4,64.940,54.950,0.95
M4,64.940,64.940,0.95
M4,64.940,74.930,0.95
M4,64.940,84.920,0.95
M4,64.940,94.910,0.95
M4,64.940,104.900,0.95
M4,64.940,114.890,0.95
M4,74.930,5.000,0.95
M4,74.930,14.990,0.95
M4,74.930,24.980,0.95
M4,74.930,34.970,0.9499999999999998
M4,74.930,44.960,0.9499999999999998
M4,74.930,54.950,0.9499999999999998
M4,74.930,64.940,0.95
M4,74.930,74.930,0.9499999999999998
M4,74.930,84.920,0.9499999999999998
M4,74.930,94.910,0.9499999999999998
M4,74.930,104.900,0.95
M4,74.930,114.890,0.9499999999999998
M4,84.920,5.000,0.95
M4,84.920,14.990,0.95
M4,84.920,24.980,0.95
M4,84.920,34.970,0.95
M4,84.920,44.960,0.95
M4,84.920,54.950,0.95
M4,84.920,64.940,0.95
M4,84.920,74.930,0.95
M4,84.920,84.920,0.95
M4,84.920,94.910,0.95
M4,84.920,104.900,0.95
M4,84.920,114.890,0.95
M4,94.910,5.000,0.95
M4,94.910,14.990,0.95
M4,94.910,24.980,0.95
M4,94.910,34.970,0.9499999999999998
M4,94.910,44.960,0.9499999999999998
M4,94.910,54.950,0.9499999999999998
M4,94.910,64.940,0.95
M4,94.910,74.930,0.9499999999999998
M4,94.910,84.920,0.9499999999999998
M4,94.910,94.910,0.9499999999999998
M4,94.910,104.900,0.95
M4,94.910,114.890,0.9499999999999998
M4,104.900,5.000,0.95
M4,104.900,14.990,0.95
M4,104.900,24.980,0.95
M4,104.900,34.970,0.95
M4,104.900,44.960,0.95
M4,104.900,54.950,0.95
M4,104.900,64.940,0.95
M4,104.900,74.930,0.95
M4,104.900,84.920,0.95
M4,104.900,94.910,0.95
M4,104.900,104.900,0.95
M4,104.900,114.890,0.95
M4,114.890,5.000,0.95
M4,114.890,14.990,0.95
M4,114.890,24.980,0.9499999999999996
M4,114.890,34.970,0.95
M4,114.890,44.960,0.9500000000000003
M4,114.890,54.950,0.9499999999999996
M4,114.890,64.940,0.9499999999999998
M4,114.890,74.930,0.9500000000000003
M4,114.890,84.920,0.9500000000000003
M4,114.890,94.910,0.95
M4,114.890,104.900,0.9499999999999998
M4,114.890,114.890,0.95
M2,1.670,1.670,-40112060681.07082
M2,1.670,5.000,-40112060681.07091
M2,1.670,8.330,-40112060681.070755
M2,1.670,11.660,-40112060681.0707
M2,1.670,14.990,-40112060681.07086
M2,1.670,18.320,-40112060681.070724
M2,1.670,21.650,-40112060681.070625
M2,1.670,24.980,-40112060681.070755
M2,1.670,28.310,-40112060681.07059
M2,1.670,31.640,-40112060681.07054
M2,1.670,34.970,-40112060681.07064
M2,1.670,38.300,-40112060681.070366
M2,1.670,41.630,-40112060681.07027
M2,1.670,44.960,-40112060681.07036
M2,1.670,48.290,-40112060681.07009
M2,1.670,51.620,-40112060681.06998
M2,1.670,54.950,-40112060681.06998
M2,1.670,58.280,-40112060681.06965
M2,1.670,61.610,-40112060681.06946
M2,1.670,64.940,-40112060681.06938
M2,1.670,68.270,-40112060681.06904
M2,1.670,71.600,-40112060681.06883
M2,1.670,74.930,-40112060681.068726
M2,1.670,78.260,-40112060681.06835
M2,1.670,81.590,-40112060681.068085
M2,1.670,84.920,-40112060681.06794
M2,1.670,88.250,-40112060681.06757
M2,1.670,91.580,-40112060681.067345
M2,1.670,94.910,-40112060681.06725
M2,1.670,98.240,-40112060681.067
M2,1.670,101.570,-40112060681.06689
M2,1.670,104.900,-40112060681.06687
M2,1.670,108.230,-40112060681.066696
M2,1.670,111.560,-40112060681.066666
M2,1.670,114.890,-40112060681.06674
M2,1.670,118.220,-40112060681.06668
M2,5.000,1.670,-40112060681.07076
M2,5.000,5.000,-40112060681.07089
M2,5.000,8.330,-40112060681.070694
M2,5.000,11.660,-40112060681.07066
M2,5.000,14.990,-40112060681.07084
M2,5.000,18.320,-40112060681.07064
M2,5.000,21.650,-40112060681.07058
M2,5.000,24.980,-40112060681.07074
M2,5.000,28.310,-40112060681.07054
M2,5.000,31.640,-40112060681.07047
M2,5.000,34.970,-40112060681.07059
M2,5.000,38.300,-40112060681.07033
M2,5.000,41.630,-40112060681.07023
M2,5.000,44.960,-40112060681.07033
M2,5.000,48.290,-40112060681.07005
M2,5.000,51.620,-40112060681.06992
M2,5.000,54.950,-40112060681.06995
M2,5.000,58.280,-40112060681.069595
M2,5.000,61.610,-40112060681.0694
M2,5.000,64.940,-40112060681.06937
M2,5.000,68.270,-40112060681.06899
M2,5.000,71.600,-40112060681.06878
M2,5.000,74.930,-40112060681.0687
M2,5.000,78.260,-40112060681.068306
M2,5.000,81.590,-40112060681.06803
M2,5.000,84.920,-40112060681.067924
M2,5.000,88.250,-40112060681.06753
M2,5.000,91.580,-40112060681.06731
M2,5.000,94.910,-40112060681.06724
M2,5.000,98.240,-40112060681.06696
M2,5.000,101.570,-40112060681.06685
M2,5.000,104.900,-40112060681.06686
M2,5.000,108.230,-40112060681.066666
M2,5.000,111.560,-40112060681.06663
M2,5.000,114.890,-40112060681.06673
M2,5.000,118.220,-40112060681.066635
M2,8.330,1.670,-40112060681.07028
M2,8.330,5.000,-40112060681.07038
M2,8.330,8.330,-40112060681.07023
M2,8.330,11.660,-40112060681.0702
M2,8.330,14.990,-40112060681.07036
M2,8.330,18.320,-40112060681.070206
M2,8.330,21.650,-40112060681.07013
M2,8.330,24.980,-40112060681.070244
M2,8.330,28.310,-40112060681.070114
M2,8.330,31.640,-40112060681.07005
M2,8.330,34.970,-40112060681.070114
M2,8.330,38.300,-40112060681.06989
M2,8.330,41.630,-40112060681.069786
M2,8.330,44.960,-40112060681.069855
M2,8.330,48.290,-40112060681.069626
M2,8.330,51.620,-40112060681.06948
M2,8.330,54.950,-40112060681.06948
M2,8.330,58.280,-40112060681.06918
M2,8.330,61.610,-40112060681.06896
M2,8.330,64.940,-40112060681.06891
M2,8.330,68.270,-40112060681.068565
M2,8.330,71.600,-40112060681.06836
M2,8.330,74.930,-40112060681.06825
M2,8.330,78.260,-40112060681.067924
M2,8.330,81.590,-40112060681.06764
M2,8.330,84.920,-40112060681.06758
M2,8.330,88.250,-40112060681.06713
M2,8.330,91.580,-40112060681.066925
M2,8.330,94.910,-40112060681.06684
M2,8.330,98.240,-40112060681.0666
M2,8.330,101.570,-40112060681.06648
M2,8.330,104.900,-40112060681.06645
M2,8.330,108.230,-40112060681.06629
M2,8.330,111.560,-40112060681.06625
M2,8.330,114.890,-40112060681.06634
M2,8.330,118.220,-40112060681.066246
M2,11.660,1.670,-40112060681.06978
M2,11.660,5.000,-40112060681.069855
M2,11.660,8.330,-40112060681.06974
M2,11.660,11.660,-40112060681.0697
M2,11.660,14.990,-40112060681.069855
M2,11.660,18.320,-40112060681.06971
M2,11.660,21.650,-40112060681.06967
M2,11.660,24.980,-40112060681.06974
M2,11.660,28.310,-40112060681.06967
M2,11.660,31.640,-40112060681.069595
M2,11.660,34.970,-40112060681.06964
M2,11.660,38.300,-40112060681.06944
M2,11.660,41.630,-40112060681.06932
M2,11.660,44.960,-40112060681.06938
M2,11.660,48.290,-40112060681.06917
M2,11.660,51.620,-40112060681.06904
M2,11.660,54.950,-40112060681.06899
M2,11.660,58.280,-40112060681.06875
M2,11.660,61.610,-40112060681.06852
M2,11.660,64.940,-40112060681.068436
M2,11.660,68.270,-40112060681.06812
