{19.6730 104.4840} {19.8230 104.6440} {Short} M1
{99.9290 102.8120} {100.0790 102.9720} {Short} M1
{239.9210 102.8120} {240.0710 102.9720} {Short} M1
{240.6810 94.4520} {240.8310 94.6120} {Short} M1
{240.6810 94.3050} {240.8310 94.4410} {Short} M1
{280.3530 94.4520} {280.5030 94.6120} {Short} M1
{340.6970 102.8120} {340.8470 102.9720} {Short} M1
{360.7610 104.4840} {360.9110 104.6440} {Short} M1
{421.8650 102.8120} {422.0150 102.9720} {Short} M1
{421.8650 102.9580} {422.0150 103.1080} {Short} M1
{99.3210 112.8440} {99.4710 113.0040} {Short} M1
{180.0330 114.5160} {180.1830 114.6760} {Short} M1
{280.8090 112.8440} {280.9590 113.0040} {Short} M1
{280.3530 112.8440} {280.5030 113.0040} {Short} M1
{280.8090 113.0750} {280.9590 113.1820} {Short} M1
{300.1130 112.8440} {300.2630 113.0040} {Short} M1
{300.9650 113.0750} {301.1150 113.2250} {Short} M1
{301.0250 113.1750} {301.1750 113.3250} {Short} M1
{320.7750 113.5750} {320.9750 113.7250} {Short} M1
{440.5610 112.8440} {440.7110 113.0040} {Short} M1
{441.3160 113.0750} {441.4760 113.2250} {Short} M1
{140.2090 122.8760} {140.3590 123.0360} {Short} M1
{139.7530 122.8760} {139.9030 123.0360} {Short} M1
{180.4890 122.8760} {180.6390 123.0360} {Short} M1
{180.4890 123.0340} {180.6390 123.1830} {Short} M1
{380.9770 122.8760} {381.1270 123.0360} {Short} M1
{380.6730 122.8760} {380.8230 123.0360} {Short} M1
{441.3210 123.2610} {441.4710 123.4870} {Short} M1
{440.1050 122.8760} {440.2550 123.0360} {Short} M1
{441.3210 123.1070} {441.4710 123.2570} {Short} M1
{454.8130 118.6160} {455.3120 118.7840} {Short} M2
{461.2330 122.8760} {461.3830 123.0360} {Short} M1
{460.6250 122.8760} {460.7750 123.0360} {Short} M1
{520.9690 122.8760} {521.1190 123.0360} {Short} M1
{99.9290 132.9080} {100.0790 133.0680} {Short} M1
{119.9930 132.9080} {120.1430 133.0680} {Short} M1
{139.9050 132.9080} {140.0550 133.0680} {Short} M1
{181.2400 132.2960} {181.4080 132.4640} {Short} M2
{320.7850 132.9080} {320.9350 133.0680} {Short} M1
{320.4810 132.9080} {320.6310 133.0680} {Short} M1
{421.2570 133.2930} {421.4070 133.5190} {Short} M1
{420.8010 132.9080} {420.9510 133.0680} {Short} M1
{421.2570 133.1390} {421.4070 133.2890} {Short} M1
{440.8650 132.9080} {441.0150 133.0680} {Short} M1
{441.1690 132.9080} {441.3190 133.0680} {Short} M1
{460.9290 132.9080} {461.0790 133.0680} {Short} M1
{45.2000 151.2690} {45.3680 152.0990} {Short} M3
{119.9930 142.9400} {120.1430 143.1000} {Short} M1
{140.0570 154.6440} {140.2070 154.8040} {Short} M1
{160.2730 152.9720} {160.4230 153.1320} {Short} M1
{160.2630 153.7030} {160.4630 153.8530} {Short} M1
{200.3790 143.6710} {200.5910 143.8210} {Short} M1
{220.0090 152.9720} {220.1590 153.1320} {Short} M1
{240.0730 152.9720} {240.2230 153.1320} {Short} M1
{240.5290 152.9720} {240.6790 153.1320} {Short} M1
{280.3530 154.6440} {280.5030 154.8040} {Short} M1
{280.8040 153.2030} {280.9640 153.3530} {Short} M1
{300.7210 142.9400} {300.8710 143.1000} {Short} M1
{300.1130 152.9720} {300.2630 153.1320} {Short} M1
{300.2650 142.9400} {300.4150 143.1000} {Short} M1
{300.9650 153.2030} {301.1150 153.3530} {Short} M1
{301.0250 153.3030} {301.1750 153.4530} {Short} M1
{441.3210 153.3570} {441.4710 153.5830} {Short} M1
{440.8650 154.6440} {441.0150 154.8040} {Short} M1
{441.3210 153.2030} {441.4710 153.3530} {Short} M1
{501.2090 154.6440} {501.3590 154.8040} {Short} M1
{521.4250 152.9720} {521.5750 153.1320} {Short} M1
{520.9690 152.9720} {521.1190 153.1320} {Short} M1
{41.4000 156.1600} {41.5680 156.3280} {Short} M2
{41.4000 156.3120} {41.5680 156.4800} {Short} M2
{41.4000 156.9200} {41.5680 157.0880} {Short} M2
{220.9210 164.6760} {221.0710 164.8360} {Short} M1
{220.9210 164.5480} {221.0710 164.6980} {Short} M1
{240.3770 164.6760} {240.5270 164.8360} {Short} M1
{300.4170 163.0040} {300.5670 163.1640} {Short} M1
{360.9130 163.0040} {361.0630 163.1640} {Short} M1
{360.6090 163.0040} {360.7590 163.1640} {Short} M1
{441.0170 163.0040} {441.1670 163.1640} {Short} M1
{99.3210 173.0360} {99.4710 173.1960} {Short} M1
{180.3370 173.0360} {180.4870 173.1960} {Short} M1
{180.0330 173.0360} {180.1830 173.1960} {Short} M1
{240.0730 174.7080} {240.2230 174.8680} {Short} M1
{275.7570 172.1200} {275.9790 172.2880} {Short} M2
{300.7510 175.7550} {300.8710 175.9270} {Short} M1
{300.7510 175.7550} {300.8710 175.9270} {Short} M1
{481.5410 173.2670} {481.6910 173.4170} {Short} M1
{480.9930 174.7080} {481.1430 174.8680} {Short} M1
{481.6010 173.3670} {481.7510 173.5170} {Short} M1
{501.2090 174.7080} {501.3590 174.8680} {Short} M1
{19.6730 183.0680} {19.8230 183.2280} {Short} M1
{38.9770 183.0680} {39.1270 183.2280} {Short} M1
{56.8890 181.3920} {57.1110 181.5600} {Short} M4
{59.8010 183.0680} {59.9510 183.2280} {Short} M1
{267.5760 180.7840} {267.7440 180.9520} {Short} M2
{280.6350 183.7990} {280.8470 183.9490} {Short} M1
{360.6090 183.0680} {360.7590 183.2280} {Short} M1
{400.8890 183.0680} {401.0390 183.2280} {Short} M1
{421.1050 183.0680} {421.2550 183.2280} {Short} M1
{420.6490 183.0680} {420.7990 183.2280} {Short} M1
{19.6730 193.1000} {19.8230 193.2600} {Short} M1
{120.9050 193.1000} {121.0550 193.2600} {Short} M1
