Instance_name	Avg_power	Pin_x	Pin_y	VDD_drop	Net_name
i_tv80_core_PC_reg_1_	6.09127e-05	30.833	9.3	0.878167	VDD
i_tv80_core_PC_reg_2_	5.62604e-05	30.833	8.1	0.877876	VDD
i_tv80_core_PC_reg_5_	5.27019e-05	36.531	9.3	0.878377	VDD
i_tv80_core_PC_reg_6_	5.57329e-05	36.383	9.3	0.878377	VDD
i_tv80_core_i_reg_RegsL_reg_7__1_	4.14168e-05	6.117	33.3	0.878566	VDD
i_tv80_core_i_reg_RegsL_reg_6__1_	5.0115e-05	3.897	33.3	0.878655	VDD
i_tv80_core_i_reg_RegsL_reg_5__0_	3.34624e-05	9.669	33.3	0.878576	VDD
i_tv80_core_i_reg_RegsL_reg_4__0_	4.1224e-05	13.073	33.3	0.878467	VDD
i_tv80_core_i_reg_RegsL_reg_2__0_	4.11744e-05	9.373	34.5	0.878581	VDD
i_tv80_core_ISet_reg_0_	6.29297e-05	22.693	8.1	0.878171	VDD
i_tv80_core_Oldnmi_n_reg	3.39625e-05	21.842	28.5	0.87788	VDD
i_tv80_core_INT_s_reg	2.78946e-05	20.917	26.1	0.878592	VDD
i_tv80_core_Auto_Wait_t2_reg	3.52371e-05	22.804	24.9	0.87825	VDD
i_tv80_core_BusReq_s_reg	2.77478e-05	22.693	27.3	0.878003	VDD
i_tv80_core_RegAddrB_r_reg_2_	2.5688e-05	18.697	28.5	0.8775	VDD
i_tv80_core_mcycles_reg_0_	2.61718e-05	25.801	5.7	0.878671	VDD
i_tv80_core_rfsh_n_reg	4.29396e-05	27.17	14.1	0.878699	VDD
i_tv80_core_PC_reg_10_	5.49613e-05	48.519	10.5	0.878791	VDD
i_tv80_core_RegBusA_r_reg_1_	2.21998e-05	22.249	32.1	0.878001	VDD
i_tv80_core_RegBusA_r_reg_0_	2.37184e-05	22.249	30.9	0.877882	VDD
i_tv80_core_PC_reg_14_	6.06466e-05	42.821	10.5	0.87846	VDD
i_tv80_core_i_reg_RegsH_reg_6__1_	3.86886e-05	23.581	44.1	0.878665	VDD
i_tv80_core_i_reg_RegsL_reg_7__4_	3.77013e-05	5.451	33.3	0.878566	VDD
i_tv80_core_PC_reg_13_	5.38179e-05	44.597	11.7	0.878829	VDD
i_tv80_core_PC_reg_9_	5.40212e-05	50.369	12.9	0.879175	VDD
i_tv80_core_PC_reg_7_	5.89858e-05	36.383	10.5	0.878131	VDD
i_tv80_core_PC_reg_8_	6.23895e-05	48.149	12.9	0.878964	VDD
i_tv80_core_i_reg_RegsL_reg_3__6_	3.50348e-05	18.031	34.5	0.878561	VDD
i_tv80_core_i_reg_RegsL_reg_0__4_	3.82992e-05	3.379	36.9	0.87888	VDD
i_tv80_core_BusA_reg_7_	0.000103848	32.313	39.3	0.87832	VDD
i_tv80_core_i_reg_RegsL_reg_1__4_	3.54975e-05	5.451	36.9	0.878761	VDD
i_tv80_core_i_reg_RegsL_reg_2__4_	4.27543e-05	5.747	35.7	0.878506	VDD
i_tv80_core_i_reg_RegsL_reg_3__4_	3.59763e-05	3.601	35.7	0.878712	VDD
i_tv80_core_i_reg_RegsL_reg_6__4_	3.56408e-05	7.597	34.5	0.878659	VDD
